                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield
                    463    96NAS     2        7       83     K546-4     43.7
                    464    96NAS     2        2       84     K563-4     22.6
                    465    96NAS     2        3       85     K567-3     25.8
                    466    96NAS     2        1       86     K571-3       .
                    467    96NAS     2        6       87     K573-3     19.9
                    468    96NAS     2        5       88     K574-3     27.3
                    469    96NAS     2        5       89     K491-1     26.5
                    470    96NAS     2        3       90     K564-2     19.5
                    471    96NAS     2        9       91     K528-4     27.3
                    472    96NAS     2        2       92     K466-3     31.1
                    473    96NAS     2        5       93     K575-3     30.3
                    474    96NAS     2        6       94     K511-2     36.5
                    475    96NAS     2        9       95     K557-2     25.5
                    476    96NAS     3        3        1     K475-1     34.9
                    477    96NAS     3       10        2     K478-1     31.5
                    478    96NAS     3        8        3     K483-1     32.4
                    479    96NAS     3        5        4     K489-1     31.0
                    480    96NAS     3        3        5     K490-1     33.0
                    481    96NAS     3        2        6     K492-1     27.2
                    482    96NAS     3        4        7     K493-1     27.6
                    483    96NAS     3       10        8     K498-1     24.7
                    484    96NAS     3        8        9     K499-1     18.0
                    485    96NAS     3        2       10     K500-1     32.9
                    486    96NAS     3        3       11     K505-1     24.7
                    487    96NAS     3        2       12     K507-1       .
                    488    96NAS     3        5       13     K510-1     30.1
                    489    96NAS     3       11       14     K528-1     42.9
                    490    96NAS     3        7       15     K530-1     43.0
                    491    96NAS     3       12       16     K533-1     30.8
                    492    96NAS     3       11       17     K535-1     26.3
                    493    96NAS     3        4       18     K536-1     25.7
                    494    96NAS     3       12       19     K538-1     25.5
                    495    96NAS     3        5       20     K546-1     32.1
                    496    96NAS     3        7       21     K551-1     26.8
                    497    96NAS     3        3       22     K553-1     38.5
                    498    96NAS     3        4       23     K555-1     30.2
                    499    96NAS     3        1       24     K557-1     25.7
                    500    96NAS     3       12       25     K567-1     23.3
                                         The SAS System     11:42 Thursday, November 1, 2001  11

                    Obs     env     rep    block    entry     line     yield

                    501    96NAS     3        5       26     K569-1     31.8
